Name,Usage Location,Protocol Extension,Change Controller,Reference
authorization_pending,Token endpoint response,[RFC8628],IETF,"[RFC8628, Section 3.5]"
access_denied,Token endpoint response,[RFC8628],IETF,"[RFC8628, Section 3.5]"
slow_down,Token endpoint response,[RFC8628],IETF,"[RFC8628, Section 3.5]"
expired_token,Token endpoint response,[RFC8628],IETF,"[RFC8628, Section 3.5]"
invalid_target,"implicit grant error response, token error response",resource parameter,IESG,[RFC8707]
unsupported_pop_key,token error response,[RFC9200],IETF,"[RFC9200, Section 5.8.3]"
incompatible_ace_profiles,token error response,[RFC9200],IETF,"[RFC9200, Section 5.8.3]"
invalid_authorization_details,"token endpoint, authorization endpoint",OAuth 2.0 Rich Authorization Requests,IETF,"[RFC9396, Section 5]"
invalid_dpop_proof,"token error response, resource access error response",Demonstrating Proof of Possession (DPoP),IETF,[RFC9449]
use_dpop_nonce,"token error response, resource access error response",Demonstrating Proof of Possession (DPoP),IETF,[RFC9449]
insufficient_user_authentication,resource access error response,OAuth 2.0 Step Up Authentication Challenge Protocol,IETF,"[RFC9470, Section 3]"
invalid_issuer,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
invalid_subject,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
invalid_trust_anchor,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
invalid_trust_chain,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
invalid_metadata,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
not_found,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
unsupported_parameter,authorization endpoint,OpenID Federation,[OpenID_Foundation_Artifact_Binding_WG],[Section 8.9 of OpenID Federation 1.0]
vp_formats_not_supported,"authorization endpoint, token endpoint",OpenID for Verifiable Presentations,[OpenID_Foundation_Digital_Credentials_Protocols_WG],"[OpenID for Verifiable Presentations 1.0, Section 8.5]"
invalid_request_uri_method,authorization endpoint,OpenID for Verifiable Presentations,[OpenID_Foundation_Digital_Credentials_Protocols_WG],"[OpenID for Verifiable Presentations 1.0, Section 8.5]"
wallet_unavailable,"authorization endpoint, token endpoint",OpenID for Verifiable Presentations,[OpenID_Foundation_Digital_Credentials_Protocols_WG],"[OpenID for Verifiable Presentations 1.0, Section 8.5]"
