Metadata Name,Metadata Description,Change Controller,Reference
require_pushed_authorization_requests,"Indicates whether the authorization server
        accepts authorization requests only via PAR.",IESG,"[RFC9126, Section 5]"
introspection_signing_alg_values_supported,JSON array containing a list of algorithms supported by the authorization server for introspection response signing,IETF,"[RFC9701, Section 7]"
introspection_encryption_alg_values_supported,"JSON array containing a list of algorithms
        supported by the authorization server for introspection response
        content key encryption (alg value)",IETF,"[RFC9701, Section 7]"
introspection_encryption_enc_values_supported,"JSON array containing a list of algorithms
        supported by the authorization server for introspection response
        content encryption (enc value)",IETF,"[RFC9701, Section 7]"
authorization_response_iss_parameter_supported,Boolean value indicating whether the authorization server provides the iss parameter in the authorization response.,IETF,"[RFC9207, Section 3]"
check_session_iframe,"URL of an OP iframe that supports cross-origin communications for session state information with the RP Client, using the HTML5 postMessage API",[OpenID_Foundation_Artifact_Binding_WG],"[OpenID Connect Session Management 1.0, Section 3.3]"
frontchannel_logout_supported,"Boolean value specifying whether the OP supports HTTP-based logout, with true indicating support",[OpenID_Foundation_Artifact_Binding_WG],"[OpenID Connect Front-Channel Logout 1.0, Section 3]"
backchannel_logout_supported,"Boolean value specifying whether the OP supports back-channel logout, with true indicating support",[OpenID_Foundation_Artifact_Binding_WG],"[OpenID Connect Back-Channel Logout 1.0, Section 2]"
backchannel_logout_session_supported,Boolean value specifying whether the OP can pass a sid (session ID) Claim in the Logout Token to identify the RP session with the OP,[OpenID_Foundation_Artifact_Binding_WG],"[OpenID Connect Back-Channel Logout 1.0, Section 2]"
end_session_endpoint,URL at the OP to which an RP can perform a redirect to request that the End-User be logged out at the OP,[OpenID_Foundation_Artifact_Binding_WG],"[OpenID Connect RP-Initiated Logout 1.0, Section 2.1]"
backchannel_token_delivery_modes_supported,Supported CIBA authentication result delivery modes,[OpenID_Foundation_MODRNA_WG],"[OpenID Connect Client-Initiated Backchannel Authentication Flow - Core 1.0, Section 4]"
backchannel_authentication_endpoint,CIBA Backchannel Authentication Endpoint,[OpenID_Foundation_MODRNA_WG],"[OpenID Connect Client-Initiated Backchannel Authentication Flow - Core 1.0, Section 4]"
backchannel_authentication_request_signing_alg_values_supported,JSON array containing a list of the JWS signing algorithms supported for validation of signed CIBA authentication requests,[OpenID_Foundation_MODRNA_WG],"[OpenID Connect Client-Initiated Backchannel Authentication Flow - Core 1.0, Section 4]"
backchannel_user_code_parameter_supported,Indicates whether the OP supports the use of the CIBA user_code parameter.,[OpenID_Foundation_MODRNA_WG],"[OpenID Connect Client-Initiated Backchannel Authentication Flow - Core 1.0, Section 4]"
authorization_details_types_supported,JSON array containing the authorization details types the AS supports,IETF,"[RFC9396, Section 10]"
dpop_signing_alg_values_supported,JSON array containing a list of the JWS algorithms supported for DPoP proof JWTs,IETF,"[RFC9449, Section 5.1]"
client_registration_types_supported,Client Registration Types Supported,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.1.3 of OpenID Federation 1.0]
federation_registration_endpoint,Federation Registration Endpoint,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.1.3 of OpenID Federation 1.0]
signed_jwks_uri,URL referencing a signed JWT having this authorization server's JWK Set document as its payload,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.1 of OpenID Federation 1.0]
jwks,"JSON Web Key Set document, passed by value",[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.1 of OpenID Federation 1.0]
organization_name,Human-readable name representing the organization owning this authorization server,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
display_name,Human-readable name of the authorization server to be presented to the End-User,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
description,Human-readable brief description of this authorization server presentable to the End-User,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
keywords,"JSON array with one or more strings representing search keywords, tags, categories, or labels that apply to this authorization server",[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
contacts,"Array of strings representing ways to contact people responsible for this authorization server, typically email addresses",[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
logo_uri,URL that references a logo for the organization owning this authorization server,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
information_uri,URL for documentation of additional information about this authorization server viewable by the End-User,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
organization_uri,URL of a Web page for the organization owning this authorization server,[OpenID_Foundation_Artifact_Binding_WG],[Section 5.2.2 of OpenID Federation 1.0]
protected_resources,JSON array containing a list of resource identifiers for OAuth protected resources,IETF,"[RFC9728, Section 4]"
status_list_aggregation_endpoint,URL of the Authorization Server aggregating OAuth Token Status List URLs for token status management.,IESG,"[RFC-ietf-oauth-status-list-21, Section 9]"
identity_chaining_requested_token_types_supported,JSON array containing a list of Token Type Identifiers supported as a requested_token_type in an Identity and Authorization Chaining Token Exchange [RFC8693] request.,IESG,"[RFC-ietf-oauth-identity-chaining-16, Section 3]"
